,loss,accuracy,val_loss,val_accuracy
0,0.6665632128715515,0.5328019261360168,0.32614627480506897,0.5684207081794739
1,0.12672419846057892,0.5515450239181519,0.023287607356905937,0.5627943277359009
2,0.019811054691672325,0.548710823059082,0.01767364703118801,0.4896702170372009
3,0.016714902594685555,0.48526284098625183,0.017343658953905106,0.4322507977485657
4,0.015510112047195435,0.47401130199432373,0.01574152521789074,0.4663737416267395
5,0.014287096448242664,0.5358811616897583,0.015002728439867496,0.5494382977485657
6,0.01387075800448656,0.5638089776039124,0.014886834658682346,0.5694171786308289
7,0.013761385343968868,0.5617164969444275,0.014711325988173485,0.5726151466369629
8,0.01361511368304491,0.5619702339172363,0.014680095948278904,0.57453453540802
9,0.013477412052452564,0.5636699795722961,0.014680624008178711,0.5768985748291016
10,0.013367743231356144,0.5647901892662048,0.01462323497980833,0.5759909749031067
11,0.013273702934384346,0.5655877590179443,0.01464122161269188,0.5754697322845459
12,0.013178306631743908,0.565477192401886,0.014551698230206966,0.5740072131156921
13,0.013075844384729862,0.5659194588661194,0.014605329371988773,0.5758990049362183
14,0.012979085557162762,0.5665727853775024,0.014605761505663395,0.5713703036308289
15,0.012825844809412956,0.5658279657363892,0.01457950659096241,0.5656182765960693
16,0.012710384093225002,0.5668587684631348,0.014639494940638542,0.5727745890617371
17,0.012514726258814335,0.5674060583114624,0.014533380046486855,0.5617150664329529
18,0.01235486101359129,0.5686597228050232,0.014556249603629112,0.5715665221214294
19,0.012120936997234821,0.5738522410392761,0.01449600514024496,0.5678963661193848
20,0.011948367580771446,0.5773480534553528,0.014483993873000145,0.5583177804946899
21,0.011754515580832958,0.5819957256317139,0.014545412734150887,0.5629139542579651
22,0.011740284971892834,0.5839020609855652,0.01444241963326931,0.5453419089317322
23,0.011487971059978008,0.5977253913879395,0.014834525063633919,0.5644193887710571
24,0.011310330592095852,0.6026066541671753,0.014539784751832485,0.5447777509689331
25,0.011067802086472511,0.6130204200744629,0.014774331822991371,0.5471110939979553
26,0.01079000998288393,0.6225479245185852,0.01491155568510294,0.5493555068969727
27,0.010622339323163033,0.6327974200248718,0.014835242182016373,0.5382652878761292
28,0.010383634828031063,0.6308647394180298,0.015081267803907394,0.5507689714431763
29,0.01010261382907629,0.6438371539115906,0.015077569521963596,0.5344265103340149
0,0.016190994530916214,0.5913876891136169,0.012511118315160275,0.6265361309051514
